query_shape	count
["8,31,129","8","8,13,31,129","8,31,120,129","8,31,36,129"]	935
["8,129"]	931
["2,71","1,2","52","2"]	924
["2,5,8"]	892
["5,8,95"]	891
["5,1582","5"]	883
["5,13009","5"]	883
["5,187","5"]	877
["5,8,36,44,100","8,52","36,44,100","5,8,13,36,44,100","5,8,36,44,71,100","13,36,44,100","36,44,71,100"]	870
["370"]	868
["2,3,13,316"]	867
["32"]	859
["5,144","5"]	844
["1734"]	841
["5,18105","5"]	834
["5,571","5"]	814
["5,8","8,52"]	808
["5,152","5"]	800
["1077"]	789
["3,4,5,7,8,129","24","3","3,5,7,8,129,136"]	783
["1,71"]	779
["320"]	776
["95","147","14918"]	770
["5,6","5"]	753
["5,349","5"]	751
["5,566","5"]	748
["5,273","5"]	747
["5,137","5"]	747
["2,5,8,15,83,152,34123"]	735
["5,83","5"]	729
["5,81","5"]	724
["2,24","2,24,502","2,24,36","2,24,98","2,24,294"]	717
["5,570","5"]	715
["8,95","95"]	697
["326","2,8"]	695
["145"]	695
["1,2,11,12,13,191"]	688
["8,58,59,909,1083,1727,1729"]	686
["303"]	680
["5,150","5"]	670
["236"]	663
["5,208","5"]	661
["5,74"]	659
["5,503","5"]	648
["8,731"]	640
["2","71","50","98","14","16","187","571","503","397"]	636
["5,502","5"]	628
["334"]	619
["5,8,44"]	616
["171"]	614
["1002"]	597
["5,326","5"]	591
["501"]	589
["2","2,16"]	580
["5,253","5"]	577
["5,276","5"]	577
["2,5,8,71","2,5,8,16,71","2,5,8,71,83","8","2,5,8,11,12,71","2,5,8,71,93"]	571
["275"]	563
["5,131","5"]	558
["5,34","5"]	550
[]	548
["5,24,44","5,13,24,44","5,24,44,71"]	544
["1","1,24","1,8","1,42","1,402","1,208","1,14","1,41","1,143","1,154"]	543
["31,87"]	542
["3,11,12,71"]	540
["5,83"]	539
["5,19157","5"]	534
["5,462","5"]	529
["5,220","5"]	519
["2,5,8,31","8"]	516
["5,2188","5"]	515
["149"]	508
["214"]	507
["5,24","5,14,24","2,5,24"]	500
["122"]	499
["3,5,31,104","8"]	491
["2,8,16"]	490
["1163"]	489
["5,236","5"]	485
["5,71,14941","2,5,71,14941","5,16,71,14941"]	484
["5,8,932"]	480
["5,207","5"]	476
["5,20","5"]	472
["5,48","5"]	466
["135"]	462
["35"]	459
["1","1,24","1,8","1,42","1,752","1,402","1,208","1,83","1,1447","1,14","1,41","1,143","1,154"]	458
["8","5,8,16,44"]	457
["5,303"]	452
["303","5"]	451
["1403"]	449
["5,126","5"]	448
["5,254","5"]	447
["5,8,74","8,284"]	445
["5,132","5"]	445
["5,454","5"]	444
["5,8,71,102"]	443
["5,1610","5"]	442
["8","5,8"]	442
["1290"]	441
["591"]	438
["701"]	437
["5,600","5"]	434
["1094"]	433
["5,12","5"]	432
["62,189"]	431
["401"]	431
["5,24,36,71,454","5,24,36,71,273,454","2,5,24,36,71,454","5,24,36,71,454,12627","5,24,36,37,71,454","5,24,36,71,454,12401","5,24,36,71,454,547","5,24,36,71,454,12345","5,24,36,71,454,12608"]	431
["1283"]	430
["471"]	430
["5,288","5"]	429
["5,1077","5"]	429
["5,11","5"]	429
["882"]	428
["34449"]	427
["34448"]	427
["5,271","5"]	427
["34450"]	427
["34452"]	427
["34451"]	427
["34454"]	427
["34453"]	427
["5,87","5"]	425
["5,275","5"]	424
["5,547","5"]	423
["5,463","5"]	421
["564"]	420
["5,1540","5"]	419
["51","8","5"]	417
["69"]	413
["8","8,199","8,92"]	410
["5,287","5"]	409
["5,16992","5"]	408
["31","299","45","45,299"]	405
["5,8","5,8,55","5,8,14","5,8,16","5,8,1138"]	404
["8,95"]	398
["30"]	397
["3,4,5,8","8","3","3,5,8,136","3,4,5,7,8","3,5,7,8,136"]	396
["5,283","5"]	395
["282"]	392
["284"]	390
["31,70"]	388
["5,555","5"]	383
["5","2,5","5,555"]	377
["70"]	375
